symbol,provider_symbol,aliases,exposure_tags
PLTR,PLTR,Palantir|Palantir Technologies|帕兰提尔,AI_PLATFORM|DATA_ANALYTICS|GOVERNMENT_TECH|DEFENSE
IBM,IBM,International Business Machines|IBM|国际商业机器,ENTERPRISE_SOFTWARE|AI_PLATFORM|CLOUD|CONSULTING
CRWD,CRWD,CrowdStrike|CrowdStrike Holdings|众击,CYBERSECURITY|CLOUD|ENTERPRISE_SOFTWARE
PANW,PANW,Palo Alto Networks|Palo Alto|派拓网络,CYBERSECURITY|CLOUD|ENTERPRISE_SOFTWARE
TSLA,TSLA,Tesla|Tesla Inc|特斯拉,EV|AUTOS|BATTERY|ENERGY_STORAGE|AI_DEVICE
GM,GM,General Motors|GM|通用汽车,AUTOS|EV|US_MANUFACTURING
F,F,Ford Motor|Ford|福特,AUTOS|EV|US_MANUFACTURING
UBER,UBER,Uber Technologies|Uber|优步,RIDE_HAILING|DELIVERY|AUTONOMOUS_DRIVING|CONSUMER
ABNB,ABNB,Airbnb|爱彼迎,TRAVEL|ONLINE_MARKETPLACE|CONSUMER_DISCRETIONARY
BKNG,BKNG,Booking Holdings|Booking.com|缤客,TRAVEL|ONLINE_MARKETPLACE|CONSUMER_DISCRETIONARY
DAL,DAL,Delta Air Lines|Delta|达美航空,airline|consumer|oil_sensitive
UAL,UAL,United Airlines Holdings|United Airlines|美国联合航空,airline|consumer|oil_sensitive
AAL,AAL,American Airlines Group|American Airlines|美国航空,airline|consumer|oil_sensitive
LUV,LUV,Southwest Airlines|西南航空,airline|consumer|oil_sensitive
WMT,WMT,Walmart|沃尔玛,RETAIL|CONSUMER_STAPLES|ECOMMERCE
COST,COST,Costco Wholesale|Costco|好市多,RETAIL|CONSUMER_STAPLES|MEMBERSHIP
HD,HD,Home Depot|家得宝,RETAIL|HOUSING|CONSUMER_DISCRETIONARY|RATES_SENSITIVE
MCD,MCD,McDonald's|McDonalds|麦当劳,RESTAURANTS|CONSUMER|GLOBAL_BRAND
NKE,NKE,Nike|耐克,APPAREL|CONSUMER_DISCRETIONARY|CHINA_EXPOSURE
DIS,DIS,Walt Disney|Disney|迪士尼,MEDIA|STREAMING|THEME_PARKS|CONSUMER_DISCRETIONARY
NFLX,NFLX,Netflix|奈飞|网飞,MEDIA|STREAMING|CONSUMER
SBUX,SBUX,Starbucks|星巴克,RESTAURANTS|CONSUMER_DISCRETIONARY|CHINA_EXPOSURE
JPM,JPM,JPMorgan Chase|JPMorgan|摩根大通,BANKING|CAPITAL_MARKETS|RATES_SENSITIVE|CREDIT
BAC,BAC,Bank of America|美国银行,BANKING|RATES_SENSITIVE|CREDIT
WFC,WFC,Wells Fargo|富国银行,BANKING|RATES_SENSITIVE|CREDIT
GS,GS,Goldman Sachs|高盛,CAPITAL_MARKETS|INVESTMENT_BANKING|ASSET_MANAGEMENT
MS,MS,Morgan Stanley|摩根士丹利|大摩,CAPITAL_MARKETS|INVESTMENT_BANKING|WEALTH_MANAGEMENT
C,C,Citigroup|Citi|花旗集团,BANKING|GLOBAL_BANKING|RATES_SENSITIVE
V,V,Visa|维萨,PAYMENTS|CONSUMER_SPENDING|FINTECH
MA,MA,Mastercard|万事达卡,PAYMENTS|CONSUMER_SPENDING|FINTECH
AXP,AXP,American Express|Amex|美国运通,PAYMENTS|CONSUMER_SPENDING|CREDIT
COIN,COIN,Coinbase|Coinbase Global|币库,CRYPTO_EXPOSURE|CRYPTO_EXCHANGE|FINTECH
HOOD,HOOD,Robinhood|Robinhood Markets|罗宾汉,BROKERAGE|FINTECH|CRYPTO_EXPOSURE|RETAIL_TRADING
MSTR,MSTR,Strategy|MicroStrategy|微策略,CRYPTO_EXPOSURE|BITCOIN_TREASURY|ENTERPRISE_SOFTWARE
BLK,BLK,BlackRock|贝莱德,ASSET_MANAGEMENT|ETF|CAPITAL_MARKETS
SCHW,SCHW,Charles Schwab|嘉信理财,BROKERAGE|ASSET_MANAGEMENT|RATES_SENSITIVE
CME,CME,CME Group|芝商所,exchange|capital_markets
ICE,ICE,Intercontinental Exchange|洲际交易所,exchange|capital_markets
BRK.B,BRK-B,Berkshire Hathaway|Berkshire|伯克希尔哈撒韦,CONGLOMERATE|INSURANCE|RAILROAD|ENERGY|CONSUMER
LLY,LLY,Eli Lilly|Lilly|礼来,PHARMA|GLP1|DIABETES|OBESITY
UNH,UNH,UnitedHealth Group|UnitedHealthcare|联合健康,HEALTH_INSURANCE|HEALTHCARE_SERVICES|REGULATORY_EXPOSURE
JNJ,JNJ,Johnson & Johnson|J&J|强生,PHARMA|MEDICAL_DEVICES|CONSUMER_HEALTH
MRK,MRK,Merck|Merck & Co|默沙东,PHARMA|ONCOLOGY|VACCINES
ABBV,ABBV,AbbVie|艾伯维,PHARMA|IMMUNOLOGY|ONCOLOGY
PFE,PFE,Pfizer|辉瑞,PHARMA|VACCINES|ONCOLOGY
TMO,TMO,Thermo Fisher Scientific|Thermo Fisher|赛默飞世尔,LIFE_SCIENCES|LAB_EQUIPMENT|BIOTECH_TOOLS
AMGN,AMGN,Amgen|安进,biotech|pharma|healthcare
GILD,GILD,Gilead Sciences|Gilead|吉利德科学,biotech|pharma|healthcare
XOM,XOM,Exxon Mobil|ExxonMobil|埃克森美孚,ENERGY_PRODUCER|OIL|NATURAL_GAS|REFINING
CVX,CVX,Chevron|雪佛龙,ENERGY_PRODUCER|OIL|NATURAL_GAS|REFINING
COP,COP,ConocoPhillips|康菲石油,ENERGY_PRODUCER|OIL|NATURAL_GAS
SLB,SLB,SLB|Schlumberger|斯伦贝谢,OIL_SERVICES|ENERGY|DRILLING
GE,GE,GE Aerospace|General Electric|通用电气,AEROSPACE|INDUSTRIAL|AVIATION
CAT,CAT,Caterpillar|卡特彼勒,INDUSTRIAL|CONSTRUCTION|MINING|INFRASTRUCTURE
BA,BA,Boeing|波音,AEROSPACE|DEFENSE|AVIATION|US_MANUFACTURING
RTX,RTX,RTX Corporation|Raytheon|雷神技术,DEFENSE|AEROSPACE|MISSILES|AVIATION
LMT,LMT,Lockheed Martin|洛克希德马丁,DEFENSE|AEROSPACE|MISSILES|SPACE
NOC,NOC,Northrop Grumman|诺斯罗普格鲁曼,DEFENSE|AEROSPACE|SPACE|CYBERSECURITY
DE,DE,Deere & Company|John Deere|迪尔,INDUSTRIAL|AGRICULTURE|MACHINERY
NEE,NEE,NextEra Energy|NextEra|新纪元能源,UTILITIES|RENEWABLE_ENERGY|RATES_SENSITIVE
AMT,AMT,American Tower|美国电塔,REIT|TELECOM_INFRASTRUCTURE|RATES_SENSITIVE
PLD,PLD,Prologis|普洛斯,REIT|LOGISTICS|WAREHOUSE|RATES_SENSITIVE
TMUS,TMUS,T-Mobile US|T-Mobile|美国电信,TELECOM|WIRELESS|CONSUMER
VZ,VZ,Verizon|威瑞森,TELECOM|WIRELESS|DIVIDEND|RATES_SENSITIVE
